Block   SS_time         SS_swaps        SS_compares     IS_time         IS_swaps        IS_compares
221     1.359000        22099           244193950       0.800000        122206647       122206647
222     1.218000        22199           246408900       0.770000        123328599       123328599
223     1.378000        22299           248633850       0.890000        124456403       124456403
224     1.265000        22399           250868800       0.806000        125530976       125530976
225     1.303000        22499           253113750       0.852000        126605017       126605017
226     1.288000        22599           255368700       0.882000        127718725       127718725
227     1.314000        22699           257633650       0.910000        128885243       128885243
228     1.328000        22799           259908600       0.904000        129930573       129930573
229     1.303000        22899           262193550       0.857000        131100366       131100366
230     1.374000        22999           264488500       0.914000        132301082       132301082
231     1.241000        23099           266793450       0.777000        133485488       133485488
232     1.235000        23199           269108400       0.802000        134748831       134748831
233     1.336000        23299           271433350       0.866000        135819284       135819284
234     1.267000        23399           273768300       0.952000        136980414       136980414
235     1.440000        23499           276113250       0.899000        138211129       138211129
236     1.498000        23599           278468200       0.983000        139392055       139392055
237     1.624000        23699           280833150       0.935000        140612565       140612565
238     1.607000        23799           283208100       0.923000        141913058       141913058
239     1.533000        23899           285593050       0.931000        142984289       142984289
240     1.527000        23999           287988000       0.923000        144324590       144324590
241     1.539000        24099           290392950       1.028000        145503750       145503750
242     1.578000        24199           292807900       1.067000        146640884       146640884
243     1.626000        24299           295232850       0.975000        147959241       147959241
244     1.637000        24399           297667800       1.180000        149080167       149080167
245     1.732000        24499           300112750       0.984000        150413865       150413865
246     1.728000        24599           302567700       1.233000        151452157       151452157
247     1.611000        24699           305032650       0.988000        152596988       152596988
248     1.657000        24799           307507600       1.067000        153875929       153875929
249     1.610000        24899           309992550       1.063000        155155533       155155533
250     1.313000        24999           312487500       0.872000        156460075       156460075
251     1.558000        25099           314992450       1.036000        157724539       157724539
252     1.440000        25199           317507400       0.852000        158917828       158917828
253     1.307000        25299           320032350       0.799000        160056881       160056881
254     1.283000        25399           322567300       0.907000        161294886       161294886
255     1.407000        25499           325112250       0.905000        162459057       162459057
256     1.692000        25599           327667200       0.871000        163700973       163700973
257     1.311000        25699           330232150       0.867000        164955920       164955920
258     1.432000        25799           332807100       0.833000        166198008       166198008
259     1.319000        25899           335392050       0.848000        167387930       167387930
260     1.327000        25999           337987000       0.829000        168728724       168728724
261     1.797000        26099           340591950       0.899000        170085240       170085240
262     1.346000        26199           343206900       1.336000        171253660       171253660
263     1.574000        26299           345831850       1.001000        172545468       172545468
264     1.522000        26399           348466800       1.134000        173795378       173795378
265     1.866000        26499           351111750       1.178000        175230703       175230703
266     1.857000        26599           353766700       1.164000        176550404       176550404
267     1.825000        26699           356431650       1.143000        177900145       177900145
268     2.007000        26799           359106600       1.232000        179355208       179355208
269     1.925000        26899           361791550       1.234000        180717756       180717756
270     1.939000        26999           364486500       1.253000        181927150       181927150
271     1.949000        27099           367191450       1.268000        183247200       183247200
272     2.041000        27199           369906400       1.370000        184720867       184720867
273     1.915000        27299           372631350       1.214000        186144280       186144280
274     1.936000        27399           375366300       1.213000        187540495       187540495
275     1.948000        27499           378111250       1.210000        188792389       188792389
276     2.039000        27599           380866200       1.299000        190149896       190149896
277     2.040000        27699           383631150       1.212000        191563027       191563027
278     1.993000        27799           386406100       1.260000        192981413       192981413
279     1.989000        27899           389191050       1.309000        194351750       194351750
280     2.111000        27999           391986000       1.318000        195637342       195637342
281     2.149000        28099           394790950       1.263000        197099949       197099949
282     2.090000        28199           397605900       1.288000        198488384       198488384
283     2.109000        28299           400430850       1.425000        199843149       199843149
284     2.061000        28399           403265800       1.342000        201161827       201161827
285     2.110000        28499           406110750       1.378000        202607990       202607990
286     2.183000        28599           408965700       1.323000        204000454       204000454
287     2.107000        28699           411830650       1.316000        205365487       205365487
288     2.158000        28799           414705600       1.610000        206664001       206664001
289     2.329000        28899           417590550       1.616000        208046472       208046472
290     3.058000        28999           420485500       2.706000        209381922       209381922
291     2.504000        29099           423390450       1.277000        210930904       210930904
292     1.984000        29199           426305400       1.115000        212384491       212384491
293     2.135000        29299           429230350       1.372000        214083049       214083049
294     2.227000        29399           432165300       1.398000        215514398       215514398
295     2.215000        29499           435110250       1.406000        217106578       217106578
296     2.285000        29599           438065200       1.438000        218606380       218606380
297     2.257000        29699           441030150       1.434000        220121255       220121255
298     2.303000        29799           444005100       1.436000        221599360       221599360
299     2.293000        29899           446990050       1.460000        223022468       223022468
300     2.344000        29999           449985000       1.455000        224479391       224479391
301     2.322000        30099           452989950       1.461000        225912514       225912514
302     2.338000        30199           456004900       1.481000        227378891       227378891
303     2.365000        30299           459029850       1.478000        228921145       228921145
304     2.373000        30399           462064800       1.486000        230485618       230485618
305     2.394000        30499           465109750       1.490000        232003034       232003034
306     2.450000        30599           468164700       1.512000        233588077       233588077
307     2.425000        30699           471229650       1.524000        235154204       235154204
308     2.437000        30799           474304600       1.535000        236568392       236568392
309     2.441000        30899           477389550       1.548000        238210978       238210978
310     2.475000        30999           480484500       1.558000        239714259       239714259
