Block   QS_time         QS_swaps        QS_compares     MS_time         MS_swaps        MS_compares
379     0.014000        360494          710589          0.011000        578764          529204  
380     0.011000        357259          677492          0.012000        580464          530778  
381     0.008000        375720          763089          0.005000        582164          532265  
382     0.009000        366942          682112          0.009000        583864          533825  
383     0.010000        354793          683175          0.008000        585564          535291  
384     0.011000        349380          736074          0.012000        587264          536888  
385     0.009000        355116          678295          0.006000        588964          538489  
386     0.009000        374129          694281          0.010000        590664          539985  
387     0.001000        404249          735051          0.018000        592364          541480  
388     0.001000        352631          706979          0.021000        594064          543054  
389     0.003000        349943          713307          0.017000        595764          544734  
390     0.003000        383095          701448          0.017000        597464          546253  
391     0.005000        352602          713666          0.014000        599164          547663  
392     0.016000        371692          723899          0.015000        600864          549214  
393     0.016000        358115          737350          0.012000        602564          551005  
394     0.016000        349702          734031          0.013000        604264          552380  
395     0.015000        373222          700131          0.012000        605964          553911  
396     0.015000        399546          734935          0.011000        607664          555671  
397     0.013000        382615          722543          0.015000        609364          557160  
398     0.016000        389456          714426          0.013000        611064          558639  
399     0.015000        418057          765932          0.015000        612764          560142  
400     0.015000        356958          738113          0.014000        614464          561730  
401     0.014000        354437          701334          0.015000        616164          563338  
402     0.014000        449517          790130          0.016000        617864          564840  
403     0.014000        382516          748752          0.016000        619564          566533  
404     0.015000        358018          727790          0.015000        621264          567896  
405     0.015000        387248          752284          0.014000        622964          569468  
406     0.013000        389669          734168          0.015000        624664          571045  
407     0.014000        363462          739798          0.016000        626364          572685  
408     0.011000        396426          772261          0.016000        628064          574180  
409     0.015000        382222          754214          0.014000        629764          575795  
410     0.014000        396114          751143          0.018000        631464          577325  
411     0.014000        408674          816562          0.017000        633164          578747  
412     0.005000        388123          746947          0.018000        634864          580381  
413     0.003000        424229          762015          0.019000        636564          582106  
414     0.009000        410805          771031          0.010000        638264          583433  
415     0.011000        396695          799775          0.008000        639964          584932  
416     0.011000        377253          740692          0.011000        641664          586626  
417     0.015000        375914          748251          0.013000        643364          588226  
418     0.011000        400583          757775          0.015000        645064          589658  
419     0.008000        420416          757124          0.012000        646764          591319  
420     0.009000        427141          805141          0.014000        648464          592952  
421     0.013000        439883          803381          0.007000        650164          594364  
422     0.015000        411148          804385          0.014000        651864          595952  
423     0.013000        391517          777683          0.019000        653564          597579  
424     0.002000        381266          782412          0.013000        655264          599256  
425     0.014000        438725          814181          0.006000        656964          600823  
426     0.012000        385225          753932          0.011000        658664          602227  
427     0.015000        440343          855873          0.014000        660364          603696  
428     0.015000        411387          785270          0.018000        662064          605268  
429     0.010000        388679          794707          0.009000        663764          606995  
430     0.011000        399110          804809          0.007000        665464          608482  
431     0.015000        407995          799852          0.012000        667164          610039  
432     0.015000        425649          816332          0.019000        668864          611548  
433     0.008000        424949          853455          0.015000        670564          613237  
434     0.011000        397354          836601          0.016000        672264          614829  
435     0.015000        405054          812481          0.015000        673964          616342  
436     0.002000        439514          822967          0.016000        675664          617842  
437     0.012000        401175          800074          0.007000        677364          619501  
438     0.013000        404276          770129          0.019000        679064          620955  
439     0.009000        412881          792053          0.010000        680764          622478  
440     0.015000        392506          785961          0.015000        682464          624242  
441     0.014000        447358          827843          0.019000        684164          625712  
442     0.008000        402680          858661          0.016000        685864          627152  
443     0.012000        431080          822778          0.014000        687564          628727  
444     0.012000        430738          858013          0.013000        689264          630233  
445     0.010000        401371          802148          0.014000        690964          631787  
446     0.015000        460990          871213          0.014000        692664          633415  
447     0.009000        425379          817104          0.014000        694364          634962  
448     0.014000        438370          824414          0.014000        696064          636700  
449     0.004000        455141          830619          0.016000        697764          638112  
450     0.010000        412164          825493          0.016000        699464          639681  
451     0.010000        430682          796787          0.015000        701164          641354  
452     0.011000        400030          810151          0.015000        702864          642866  
453     0.010000        451061          832044          0.017000        704564          644327  
454     0.010000        440745          835322          0.015000        706264          645991  
455     0.013000        456316          863890          0.016000        707964          647434  
456     0.002000        407796          834697          0.019000        709664          649244  
457     0.012000        432468          860729          0.014000        711364          650554  
458     0.011000        436633          856436          0.011000        713064          651919  
459     0.010000        409111          829425          0.011000        714764          653901  
460     0.010000        465720          851128          0.007000        716464          655375  
461     0.017000        462305          842013          0.014000        718164          657017  
462     0.005000        485999          861994          0.015000        719864          658248  
463     0.007000        390681          864477          0.014000        721564          659987  
464     0.012000        442273          910296          0.014000        723264          661639  
465     0.007000        489384          863576          0.015000        724964          663041  
466     0.011000        484295          867689          0.010000        726664          664626  
467     0.018000        451733          950081          0.010000        728364          666218  
468     0.004000        448521          868496          0.017000        730064          667695  
469     0.016000        452723          884920          0.015000        731764          669351  
470     0.004000        481952          891796          0.017000        733464          670983  
471     0.012000        476743          867034          0.015000        735164          672602  
472     0.013000        478524          890987          0.017000        736864          674271  
473     0.010000        482541          885372          0.014000        738564          675615  
